Report_key,Date,Category,Coalition_forces_wounded,Coalition_forces_killed,Iraq_forces_wounded,Iraq_forces_killed,Civilian_wia,Civilian_kia,Enemy_wia,Enemy_kia,Enemy_detained,Total_deaths,Latitude,Longitude
15728,3/23/04,Direct Fire,0,0,2,2,0,0,5,0,0,2,31.01838493,47.44182587
15760,3/23/04,Attack,0,0,0,1,0,1,0,0,0,2,33.31691742,43.86122894
15829,3/23/04,Direct Fire,0,0,0,0,0,0,0,2,0,2,36.14948654,43.23002243
15810,3/24/04,Direct Fire,3,1,0,0,0,0,0,5,0,6,33.6313858,44.23578262
15891,3/25/04,Direct Fire,0,0,3,1,0,0,0,0,5,1,34.19330597,45.15194702
15905,3/25/04,Indirect Fire,0,0,0,0,11,1,0,0,0,1,33.28765106,44.06468582
15911,3/25/04,Direct Fire,0,0,4,1,0,0,0,0,0,1,33.24356079,44.39844894
15936,3/25/04,Direct Fire,4,0,0,0,0,0,2,3,1,3,33.43189621,43.34020233
15937,3/25/04,Direct Fire,0,0,0,0,0,2,1,0,0,2,33.37081528,44.51947784
15938,3/25/04,Direct Fire,0,0,1,0,0,0,0,1,0,1,33.30680466,44.49751663
16001,3/26/04,Attack,0,0,0,0,1,1,0,0,0,1,30.63478088,46.79432297
16003,3/26/04,Direct Fire,3,1,0,0,0,0,0,0,9,1,33.35439301,43.81775284
16038,3/27/04,Direct Fire,0,0,2,0,3,2,0,0,0,2,36.33975983,43.13414001
12E2CDB0-77D7-48F6-8989-EACD7D46AAAF,3/28/04,Direct Fire,0,0,0,0,2,1,0,0,0,1,36.3949585,43.11888504
4A92D115-AFDB-4202-A614-3C76DDB8DC75,3/28/04,Direct Fire,0,0,0,0,0,2,0,0,0,2,36.33927536,43.19041824
043D1C1C-68CF-4DA6-800A-5E670EB79D5F,3/28/04,Direct Fire,2,0,0,0,0,0,0,4,0,4,36.39435196,43.13785553
1B964F55-05BC-473E-956E-B99257CB4D81,3/29/04,Direct Fire,0,0,0,0,1,0,0,1,0,1,33.39146805,44.49570847
6CFA31B7-E97E-4172-B2E6-4A0187459384,3/31/04,Direct Fire,0,0,0,0,0,4,0,0,0,4,33.34980392,43.77623749
58920516-552F-4A9C-AB1D-73C362436722,3/31/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,33.42414093,43.30056
CEA584E8-7D95-4F72-9AC2-9CC3D65D53CD,4/1/04,Direct Fire,0,0,5,2,0,0,0,0,0,2,33.75267029,44.61453247
862C8303-AAAB-4CCF-B3E1-455F6102C108,4/1/04,Direct Fire,1,1,0,0,0,0,0,0,0,1,33.53025055,42.62446976
53BBDFFC-3A7C-4B9F-A1E4-EDFB3805B355,4/1/04,Direct Fire,1,0,0,0,0,0,1,1,5,1,35.33434677,43.78412628
51BA2475-BBEE-4937-A92C-A3925EC5E8E4,4/1/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,33.42858887,43.28152084
FC49F4F2-2DB1-473B-A76E-E4C2A0EB9444,4/2/04,Direct Fire,0,0,1,1,0,0,0,0,0,1,32.021698,44.39640427
A0E806D5-88F0-4F11-8D55-10ACFBAB9A40,4/3/04,Direct Fire,1,1,0,0,0,0,0,0,0,1,33.42697906,43.31018448
AC946763-D2B3-47B2-BD36-EC2ACC6135F1,4/4/04,Direct Fire,0,0,0,0,0,0,0,2,0,2,31.83808517,47.14834595
3667073B-4BE4-4B20-92D5-75B5AB9A0A57,4/4/04,Direct Fire,6,0,0,0,0,0,5,4,1,4,31.83896828,47.14942551
89FE68FD-BE89-48A0-B3A9-8019A45D33C9,4/5/04,Direct Fire,0,1,0,0,0,0,0,0,0,1,33.36723328,43.747715
107890B2-01E1-4055-9CD1-82ADD10B8774,4/5/04,Direct Fire,0,0,0,0,0,0,1,3,0,3,31.85066986,47.15075302
753134A1-E539-44FC-BA49-C429F22AB7EF,4/5/04,Direct Fire,0,1,0,0,0,0,0,0,0,1,33.37108612,44.35788345
3FE7AAF4-AC6C-4AC9-9CB8-CE20921F9181,4/6/04,Direct Fire,1,1,0,0,0,0,0,0,0,1,33.37182999,44.28103638
EBF78095-FC46-44D5-9C06-181A264BE228,4/6/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,31.85391808,47.17196274
9A04E33F-A28D-43F1-A593-EB7DE77930B6,4/6/04,Attack,0,0,0,0,0,0,0,14,0,14,33.39483643,44.43977356
96152422-5368-475F-A5F2-D1C4A6555953,4/6/04,Indirect Fire,14,0,0,0,0,0,0,25,0,25,31.04635048,46.24078751
68725F22-0FED-46EC-85B3-B46E3A8F7D47,4/6/04,Direct Fire,5,1,0,0,0,0,0,0,0,1,32.49861526,45.81752777
62421E9B-F2A2-405F-9BB9-5BDA1EC1DBB4,4/6/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,33.35411072,43.78874207
E3499048-6853-421B-92DA-615D74B1C0C8,4/6/04,Indirect Fire,0,0,0,0,10,4,0,0,0,4,33.28794098,44.06350327
1C13BFDA-95CF-4082-A7D5-8DDDAD193987,4/6/04,Direct Fire,22,12,0,0,0,0,0,0,0,12,33.44432831,43.26036453
414BED52-A480-4BF0-8B7C-0971FD28E877,4/6/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,33.39598846,43.49463272
BA2272B9-C9FC-4C2D-A619-82E927E82202,4/7/04,Direct Fire,0,0,0,0,0,0,0,4,0,4,33.71651459,44.64804459
50641563-4B19-4AAE-A1BD-BB6DD4D1AA56,4/7/04,Direct Fire,0,0,0,0,0,0,0,2,20,2,33.36683655,44.26044083
DB9961EB-8238-4714-91D1-F713920EA827,4/7/04,Direct Fire,0,1,0,0,0,0,0,1,0,2,33.23190308,44.51701736
69152EF0-64F0-492E-B159-FB356FECBFDC,4/7/04,Attack,0,0,0,0,0,1,0,0,0,1,32.50766373,45.81335068
E21D0A35-3542-43FE-8256-18005274C63E,4/7/04,SAFIRE,6,0,0,0,0,0,7,10,17,10,35.32706833,43.77763367
922D0564-65CC-4523-A48E-9AC98B0D1372,4/7/04,Direct Fire,1,0,0,0,0,0,0,6,0,6,32.03876114,44.3445015
1EE6320E-099C-464A-959A-37376AF7ADFF,4/7/04,Direct Fire,0,0,0,0,0,0,0,2,0,2,33.29693604,44.06018448
00A714D3-9719-4402-B456-1D759FA89082,4/7/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,33.30438232,44.38557053
96491208-FC9E-49E8-ABB0-1FA4EF9B1A6C,4/7/04,Direct Fire,0,0,0,0,0,0,0,1,3,1,33.27796555,44.33528519
20759FDC-48E8-4EAD-8E7E-F70C0EF40D06,4/7/04,Direct Fire,0,1,0,0,0,0,0,0,0,1,34.22941589,43.88090134
8F01016B-DB97-4DAD-B109-6EB73195FCC5,4/7/04,Direct Fire,1,0,0,0,0,0,0,5,0,5,33.37280273,44.36036301
5E906A78-C23E-4569-833B-17592225011C,4/7/04,Direct Fire,0,0,4,1,0,0,0,0,0,1,32.86507797,44.38006592
8D7AE952-5A63-421F-AB77-EC92EB0E5C9E,4/7/04,Direct Fire,0,0,4,1,0,0,0,0,0,1,32.86507797,44.38006592
FF8E5646-801F-4530-8ADC-9D56BB8530CD,4/7/04,Direct Fire,1,0,0,0,0,0,0,1,0,1,36.31907654,43.10845947
41FF7CAF-E774-41C7-8CC4-32A287F8F10B,4/7/04,Direct Fire,0,0,0,0,0,0,1,1,0,1,31.86195946,47.17637634
7D981AE8-C888-49F0-A565-5503BB96BA6F,4/8/04,Direct Fire,0,0,0,0,0,0,0,3,0,3,33.36979675,44.49045944
2A5EB472-811A-4546-97F2-4DACBBF2EAA2,4/8/04,Direct Fire,0,0,0,0,0,0,1,5,0,5,33.28882599,44.06134415
932828F4-507D-4908-BF3B-9317303D0F31,4/8/04,Direct Fire,0,0,0,0,0,1,0,0,0,1,33.86368942,42.52448654
175A12A6-0253-43C8-BFB1-F260F0268576,4/8/04,Direct Fire,0,0,0,0,0,0,4,6,0,6,33.2507782,44.42768478
